,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3711,12261247,JE103122,01/04/2021 02:50:00 PM,039XX W MADISON ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1122,11,28.0,26,08B,1150021.0,1899720.0,2021,01/16/2021 03:49:23 PM,41.880741309,-87.724597845,"(41.880741309, -87.724597845)"
25865,12301886,JE152785,02/26/2021 10:23:00 AM,037XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,2535,25,26.0,23,14,1151314.0,1910377.0,2021,03/05/2021 03:49:32 PM,41.909959926999996,-87.71957008700001,"(41.909959927, -87.719570087)"
19039,12291800,JE139861,02/06/2021 03:15:00 PM,003XX E 59TH ST,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,232,2,20.0,40,08A,1179712.0,1865974.0,2021,02/19/2021 03:45:56 PM,41.787510190999996,-87.61660962299999,"(41.787510191, -87.616609623)"
46772,12335471,JE193543,04/08/2021 03:00:00 AM,069XX S INDIANA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,322,3,6.0,69,14,1178791.0,1859103.0,2021,04/15/2021 05:38:17 PM,41.768676487,-87.62019543299999,"(41.768676487, -87.620195433)"
19959,12295751,JE144212,01/21/2021 06:00:00 PM,011XX N MONTICELLO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,1112,11,27.0,23,08B,1151836.0,1907253.0,2021,02/20/2021 03:48:04 PM,41.901377109,-87.717734819,"(41.901377109, -87.717734819)"
61582,12359158,JE221487,05/06/2021 11:21:00 AM,017XX W DIVISION ST,0560,ASSAULT,SIMPLE,CONVENIENCE STORE,False,False,1213,12,1.0,24,08A,1164384.0,1908039.0,2021,05/13/2021 05:03:37 PM,41.903277616,-87.671622481,"(41.903277616, -87.671622481)"
7539,12271169,JE114726,01/16/2021 03:06:00 PM,0000X N STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,False,False,112,1,42.0,32,14,1176363.0,1900546.0,2021,01/23/2021 03:54:52 PM,41.882454454,-87.627847806,"(41.882454454, -87.627847806)"
1713,12263437,JE105694,01/07/2021 08:19:00 AM,012XX S ASHLAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1233,12,28.0,28,06,1165916.0,1894587.0,2021,01/16/2021 03:49:23 PM,41.866331725,-87.666379171,"(41.866331725, -87.666379171)"
26257,12302831,JE154064,02/27/2021 01:00:00 PM,069XX S OGLESBY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,331,3,5.0,43,14,1192966.0,1859452.0,2021,03/06/2021 03:50:24 PM,41.769299904,-87.568226417,"(41.769299904, -87.568226417)"
34848,12316091,JE169899,03/15/2021 05:00:00 PM,071XX S CYRIL AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,False,False,333,3,5.0,43,04B,1190602.0,1857828.0,2021,03/22/2021 04:53:29 PM,41.764900898,-87.576943938,"(41.764900898, -87.576943938)"
21578,12295946,JE145443,02/17/2021 06:00:00 PM,030XX W WASHINGTON BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,1222,12,27.0,27,04A,1156205.0,1900530.0,2021,02/24/2021 03:49:12 PM,41.882841419,-87.70186871,"(41.882841419, -87.70186871)"
4029,12259659,JE101262,01/02/2021 12:00:00 PM,006XX N SPAULDING AVE,0810,THEFT,OVER $500,APARTMENT,False,True,1121,11,27.0,23,06,1154261.0,1904122.0,2021,01/16/2021 03:49:23 PM,41.892737253,-87.708911204,"(41.892737253, -87.708911204)"
24560,12300631,JE151180,02/24/2021 04:20:00 PM,009XX W ARGYLE ST,0460,BATTERY,SIMPLE,APARTMENT,True,True,2024,20,48.0,3,08B,1169089.0,1933605.0,2021,03/03/2021 03:47:36 PM,41.973330970999996,-87.65359549799999,"(41.973330971, -87.653595498)"
15431,12283743,JE129731,02/01/2021 09:22:00 PM,078XX W GREGORY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1613,16,41.0,10,08B,1123163.0,1935895.0,2021,02/08/2021 03:48:15 PM,41.980490714,-87.822428694,"(41.980490714, -87.822428694)"
9695,12279365,JE124387,01/17/2021 09:00:00 AM,053XX N SHERIDAN RD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2023,20,48.0,77,11,1168676.0,1935675.0,2021,01/29/2021 03:44:00 PM,41.979020089,-87.655053915,"(41.979020089, -87.655053915)"
48575,12339025,JE197230,04/12/2021 01:51:00 PM,011XX W 61ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,712,7,16.0,68,14,1169575.0,1864341.0,2021,04/19/2021 05:20:48 PM,41.783254922,-87.653824894,"(41.783254922, -87.653824894)"
45805,12333569,JE191328,04/06/2021 03:25:00 PM,048XX W ARMITAGE AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,2533,25,36.0,19,08B,1143565.0,1912855.0,2021,04/13/2021 05:27:07 PM,41.916908451,-87.747974929,"(41.916908451, -87.747974929)"
15298,12283827,JE129691,02/01/2021 08:00:00 PM,014XX E 75TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,NURSING / RETIREMENT HOME,False,False,324,3,8.0,43,04B,1187300.0,1855554.0,2021,02/08/2021 03:48:15 PM,41.758739878,-87.589118634,"(41.758739878, -87.589118634)"
672,12260011,JE101716,01/02/2021 10:06:00 PM,013XX S CHRISTIANA AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1021,10,24.0,29,08A,1154245.0,1893595.0,2021,01/16/2021 03:49:23 PM,41.863850395,-87.70925109299999,"(41.863850395, -87.709251093)"
39150,12323565,JE179016,03/24/2021 06:00:00 AM,098XX S CALUMET AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,511,5,9.0,49,06,1180313.0,1839901.0,2021,03/31/2021 04:59:47 PM,41.715949212,-87.615203957,"(41.715949212, -87.615203957)"
55887,12349201,JE210148,04/26/2021 01:45:00 AM,066XX S ST LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,321,3,20.0,42,14,1181373.0,1861218.0,2021,05/03/2021 04:48:50 PM,41.77442112,-87.610666056,"(41.77442112, -87.610666056)"
38117,12321122,JE175911,03/22/2021 07:45:00 AM,121XX S NORMAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,523,5,34.0,53,14,1175155.0,1824468.0,2021,03/29/2021 04:53:03 PM,41.673715251,-87.63455359700001,"(41.673715251, -87.634553597)"
49313,12339049,JE198000,04/13/2021 09:33:00 AM,016XX S CLARK ST,0560,ASSAULT,SIMPLE,GROCERY FOOD STORE,False,False,131,1,3.0,33,08A,1175771.0,1892266.0,2021,04/20/2021 04:49:35 PM,41.859746945,-87.63027064299999,"(41.859746945, -87.630270643)"
26345,12302483,JE153653,02/27/2021 03:13:00 AM,043XX W MAYPOLE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1114,11,28.0,26,14,1147445.0,1901102.0,2021,03/06/2021 03:50:24 PM,41.884583424,-87.73402135399998,"(41.884583424, -87.734021354)"
3381,12261635,JE103680,01/05/2021 04:30:00 AM,052XX W HENDERSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1634,16,31.0,15,14,1140744.0,1921769.0,2021,01/16/2021 03:49:23 PM,41.94142176,-87.758119684,"(41.94142176, -87.758119684)"
45183,12333059,JE190711,04/05/2021 11:15:00 PM,026XX W THOMAS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1211,12,1.0,24,08B,1158502.0,1907215.0,2021,04/12/2021 05:33:53 PM,41.901138962,-87.69325089600002,"(41.901138962, -87.693250896)"
10473,12275646,JE119916,01/22/2021 09:00:00 AM,056XX S MEADE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,811,8,13.0,56,11,1136674.0,1866519.0,2021,01/29/2021 03:46:26 PM,41.789881906,-87.774400913,"(41.789881906, -87.774400913)"
137,12269980,JE113251,01/03/2021 12:00:00 AM,078XX S HALSTED ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,POLICE FACILITY / VEHICLE PARKING LOT,False,False,621,6,17.0,71,11,1172325.0,1852947.0,2021,01/17/2021 03:48:02 PM,41.751928332,-87.64407726399998,"(41.751928332, -87.644077264)"
3502,12261504,JE103592,01/05/2021 01:25:00 AM,065XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,312,3,20.0,42,06,1180046.0,1861722.0,2021,01/16/2021 03:49:23 PM,41.775834643,-87.615515144,"(41.775834643, -87.615515144)"
41445,12326746,JE182015,03/28/2021 05:21:00 AM,042XX W 13TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1011,10,24.0,29,04A,1148353.0,1893703.0,2021,04/04/2021 05:01:16 PM,41.864262257,-87.730877728,"(41.864262257, -87.730877728)"
61437,12359341,JE222321,05/06/2021 03:00:00 PM,011XX W GEORGE ST,0890,THEFT,FROM BUILDING,CONSTRUCTION SITE,False,False,1933,19,44.0,6,06,1168186.0,1919410.0,2021,05/13/2021 05:03:37 PM,41.934398951,-87.65732776,"(41.934398951, -87.65732776)"
43684,12330335,JE187174,04/02/2021 12:30:00 PM,044XX W WEST END AVE,0810,THEFT,OVER $500,STREET,False,False,1113,11,28.0,26,06,1146587.0,1900601.0,2021,04/09/2021 05:06:35 PM,41.883225022,-87.73718486,"(41.883225022, -87.73718486)"
56,12261167,JE103224,01/03/2021 04:00:00 PM,012XX W SHERWIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2423,24,49.0,1,14,1166342.0,1948785.0,2021,01/16/2021 03:49:23 PM,42.015044609,-87.663260015,"(42.015044609, -87.663260015)"
4596,12266271,JE108954,01/10/2021 03:20:00 PM,018XX W DIVISION ST,0850,THEFT,ATTEMPT THEFT,RESTAURANT,False,False,1212,12,1.0,24,06,1164091.0,1908031.0,2021,01/17/2021 03:49:56 PM,41.903261861,-87.672698955,"(41.903261861, -87.672698955)"
32860,12316251,JE153671,02/27/2021 03:30:00 AM,006XX N RUSH ST,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,1834,18,42.0,8,08B,1176989.0,1904605.0,2021,03/18/2021 04:49:55 PM,41.893578417,-87.625426193,"(41.893578417, -87.625426193)"
62325,12359520,JE222755,05/07/2021 03:40:00 PM,038XX W ROOSEVELT RD,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,1133,11,24.0,29,08A,1151132.0,1894441.0,2021,05/14/2021 04:55:48 PM,41.866233446,-87.720656676,"(41.866233446, -87.720656676)"
7097,12269840,JE113118,01/15/2021 01:12:00 AM,065XX S SANGAMON ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,723,7,6.0,68,08A,1171098.0,1861538.0,2021,01/22/2021 03:48:10 PM,41.775529997,-87.648322945,"(41.775529997, -87.648322945)"
7575,12271005,JE114498,01/16/2021 12:19:00 PM,016XX W CHICAGO AVE,0460,BATTERY,SIMPLE,DRUG STORE,False,False,1213,12,1.0,24,08B,1165119.0,1905409.0,2021,01/23/2021 03:54:52 PM,41.896045119,-87.66899748799999,"(41.896045119, -87.668997488)"
27942,12305270,JE156935,03/02/2021 01:45:00 PM,048XX W NORTH AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,2533,25,37.0,25,06,1143844.0,1910199.0,2021,03/09/2021 03:54:03 PM,41.909614875,-87.747016581,"(41.909614875, -87.747016581)"
24783,12300456,JE151011,02/24/2021 02:30:00 PM,077XX S MUSKEGON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,421,4,7.0,43,08B,1196473.0,1853998.0,2021,03/03/2021 03:47:36 PM,41.754247423,-87.555552419,"(41.754247423, -87.555552419)"
5628,12270057,JE113347,01/11/2021 06:00:00 AM,040XX N CLARK ST,0560,ASSAULT,SIMPLE,GAS STATION,False,False,1912,19,47.0,6,08A,1166702.0,1926863.0,2021,01/20/2021 03:51:20 PM,41.95488231,-87.66256708899998,"(41.95488231, -87.662567089)"
9449,12274519,JE118580,01/20/2021 10:52:00 PM,012XX W 72ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,734,7,6.0,67,08B,1169192.0,1857035.0,2021,01/27/2021 03:54:59 PM,41.763214645,-87.655440235,"(41.763214645, -87.655440235)"
11918,12278169,JE122908,01/25/2021 01:23:00 PM,011XX N HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1112,11,37.0,23,14,1149847.0,1907216.0,2021,02/01/2021 03:48:35 PM,41.90131451,-87.725041634,"(41.90131451, -87.725041634)"
43068,12330388,JE186003,04/01/2021 10:00:00 AM,049XX S LAFLIN ST,0810,THEFT,OVER $500,STREET,False,True,933,9,20.0,61,06,1167163.0,1872225.0,2021,04/08/2021 05:05:01 PM,41.804941518,-87.66244251100002,"(41.804941518, -87.662442511)"
25746,12302236,JE153410,02/26/2021 07:00:00 PM,013XX N KILDARE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2534,25,37.0,23,08B,1147470.0,1908405.0,2021,03/05/2021 03:49:32 PM,41.904623168,-87.733742138,"(41.904623168, -87.733742138)"
47981,12336585,JE195077,04/10/2021 05:30:00 AM,019XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1024,10,24.0,29,08B,1154008.0,1890237.0,2021,04/17/2021 05:31:27 PM,41.854640386999996,-87.71021057799999,"(41.854640387, -87.710210578)"
19201,12290532,JE138395,02/10/2021 11:14:00 PM,079XX S KINGSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,422,4,7.0,46,14,1194565.0,1852814.0,2021,02/19/2021 03:45:56 PM,41.751045556,-87.56258335,"(41.751045556, -87.56258335)"
28584,12306557,JE158524,03/03/2021 10:30:00 PM,063XX S MAPLEWOOD AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,True,825,8,16.0,66,04A,1160461.0,1862595.0,2021,03/10/2021 03:48:52 PM,41.778656441,-87.68728807299999,"(41.778656441, -87.687288073)"
9027,12276141,JE120380,01/13/2021 08:00:00 PM,040XX N SPRINGFIELD AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,ALLEY,False,False,1723,17,45.0,16,14,1149668.0,1926594.0,2021,01/26/2021 03:48:59 PM,41.954492931,-87.72519429399998,"(41.954492931, -87.725194294)"
14910,12283762,JE129804,01/31/2021 07:00:00 PM,070XX S OAKLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,832,8,17.0,66,08B,1162281.0,1858011.0,2021,02/07/2021 03:46:17 PM,41.766039592,-87.680743311,"(41.766039592, -87.680743311)"
31986,12311452,JE164302,03/09/2021 09:08:00 PM,031XX W WARREN BLVD,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1222,12,28.0,27,08A,1155463.0,1900184.0,2021,03/16/2021 04:52:52 PM,41.881906911,-87.704602681,"(41.881906911, -87.704602681)"
40792,12326307,JE182326,03/27/2021 09:30:00 AM,110XX S VERNON AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,513,5,9.0,49,08A,1181204.0,1831866.0,2021,04/03/2021 05:04:00 PM,41.693879672,-87.61218712899998,"(41.693879672, -87.612187129)"
21962,12295612,JE145135,02/18/2021 05:15:00 PM,030XX N ODELL AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,2511,25,29.0,17,08A,1126557.0,1919457.0,2021,02/25/2021 03:51:59 PM,41.935326741,-87.81031545299999,"(41.935326741, -87.810315453)"
4340,12265896,JE108667,01/10/2021 02:00:00 AM,004XX N CENTRAL PARK BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1123,11,27.0,23,14,1152273.0,1902600.0,2021,01/17/2021 03:49:56 PM,41.888600199,-87.71625258600002,"(41.888600199, -87.716252586)"
24492,12301810,JE152829,01/19/2021 03:00:00 PM,046XX S LA CROSSE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,814,8,22.0,56,11,1144805.0,1873442.0,2021,03/02/2021 03:47:53 PM,41.808730795,-87.744412439,"(41.808730795, -87.744412439)"
4460,12266404,JE108802,01/10/2021 11:49:00 AM,064XX S EVANS AVE,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,ALLEY,True,False,312,3,20.0,42,04B,1182326.0,1862486.0,2021,01/17/2021 03:49:56 PM,41.777878604,-87.60713330700001,"(41.777878604, -87.607133307)"
47577,12335906,JE194172,04/09/2021 05:50:00 AM,037XX W ARTHINGTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1133,11,24.0,27,14,1151698.0,1895782.0,2021,04/16/2021 05:26:56 PM,41.869902199,-87.71854356899998,"(41.869902199, -87.718543569)"
20213,12292093,JE140412,02/13/2021 04:45:00 AM,001XX W WACKER DR,0810,THEFT,OVER $500,STREET,False,False,122,1,42.0,32,06,1175349.0,1902127.0,2021,02/20/2021 03:50:23 PM,41.886815622,-87.631523712,"(41.886815622, -87.631523712)"
42585,12328976,JE185434,03/31/2021 03:43:00 PM,092XX S STONY ISLAND AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,413,4,8.0,48,04B,1188407.0,1843930.0,2021,04/07/2021 05:14:05 PM,41.72681614,-87.585431864,"(41.72681614, -87.585431864)"
40258,12325136,JE180841,03/26/2021 09:18:00 PM,010XX W FULTON MARKET,0810,THEFT,OVER $500,STREET,False,False,1214,12,27.0,28,06,1169275.0,1902042.0,2021,04/02/2021 05:04:22 PM,41.886716525,-87.653831364,"(41.886716525, -87.653831364)"
51051,12345609,JE205911,03/16/2021 03:00:00 PM,099XX S MORGAN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,2232,22,34.0,73,11,1171400.0,1839005.0,2021,04/23/2021 04:49:41 PM,41.713689823,-87.647873852,"(41.713689823, -87.647873852)"
54678,12347296,JE207656,04/23/2021 11:04:00 AM,069XX S SOUTH SHORE DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,331,3,5.0,43,14,1193426.0,1859510.0,2021,04/30/2021 04:49:54 PM,41.769447819,-87.566538409,"(41.769447819, -87.566538409)"
43192,12329450,JE186133,04/01/2021 11:43:00 AM,003XX E KENSINGTON AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,True,False,532,5,9.0,53,04A,1180477.0,1828252.0,2021,04/08/2021 05:05:01 PM,41.683979017,-87.614959177,"(41.683979017, -87.614959177)"
59108,12355226,JE217637,05/02/2021 09:51:00 PM,043XX S EVANS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,221,2,4.0,38,04A,1181991.0,1876310.0,2021,05/09/2021 04:55:50 PM,41.815820598,-87.607933753,"(41.815820598, -87.607933753)"
40316,12325081,JE180638,03/26/2021 05:15:00 PM,016XX N MASON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,2531,25,29.0,25,06,1136503.0,1910226.0,2021,04/02/2021 05:04:22 PM,41.909823499,-87.773984044,"(41.909823499, -87.773984044)"
18803,12290483,JE138318,02/10/2021 12:00:00 PM,046XX N SHERIDAN RD,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,1914,19,46.0,3,08B,1168785.0,1930917.0,2021,02/19/2021 03:45:56 PM,41.965961631999996,-87.654791654,"(41.965961632, -87.654791654)"
46233,12334787,JE192910,04/07/2021 11:00:00 PM,070XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,733,7,6.0,68,08B,1171850.0,1858176.0,2021,04/14/2021 05:57:55 PM,41.766287795,-87.645664744,"(41.766287795, -87.645664744)"
15787,12285008,JE131262,02/02/2021 05:00:00 PM,014XX S HOMAN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1021,10,24.0,29,06,1153932.0,1892909.0,2021,02/09/2021 03:47:29 PM,41.861974172,-87.71041837799999,"(41.861974172, -87.710418378)"
27295,12305646,JE157410,03/01/2021 01:00:00 AM,022XX S WESTERN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,ATM (AUTOMATIC TELLER MACHINE),False,False,1034,10,28.0,31,11,1160716.0,1889098.0,2021,03/08/2021 03:55:51 PM,41.851378633,-87.68562086,"(41.851378633, -87.68562086)"
47828,12336709,JE195252,04/10/2021 10:45:00 AM,079XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,GAS STATION,False,False,611,6,21.0,71,06,1167051.0,1852159.0,2021,04/17/2021 05:31:27 PM,41.749880266,-87.663426578,"(41.749880266, -87.663426578)"
54460,12351586,JE212867,04/23/2021 09:53:00 PM,071XX N BELL AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,2411,24,50.0,2,06,1160153.0,1947465.0,2021,04/30/2021 04:49:54 PM,42.011553176999996,-87.68606997399998,"(42.011553177, -87.686069974)"
21427,12294522,JE143564,02/17/2021 07:00:00 AM,003XX N WALLER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1512,15,29.0,25,08B,1138093.0,1901588.0,2021,02/24/2021 03:49:12 PM,41.886091158,-87.76835192200001,"(41.886091158, -87.768351922)"
27524,12304563,JE155961,03/01/2021 01:30:00 PM,021XX N CLARK ST,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,False,False,1814,18,43.0,7,08B,1173568.0,1914564.0,2021,03/08/2021 03:55:51 PM,41.920983178,-87.637693589,"(41.920983178, -87.637693589)"
14789,12282633,JE128341,01/31/2021 11:55:00 AM,003XX S LOCKWOOD AVE,0460,BATTERY,SIMPLE,STREET,False,False,1522,15,29.0,25,08B,1141071.0,1897737.0,2021,02/07/2021 03:46:17 PM,41.875469203,-87.757510765,"(41.875469203, -87.757510765)"
59903,12356166,JE218727,05/03/2021 07:15:00 PM,010XX N LAWLER AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,False,1531,15,37.0,25,08B,1142506.0,1906385.0,2021,05/10/2021 04:53:33 PM,41.899173822,-87.752026829,"(41.899173822, -87.752026829)"
48841,12339553,JE198324,04/12/2021 07:05:00 PM,044XX N CENTRAL PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,1723,17,35.0,14,14,1151590.0,1929224.0,2021,04/19/2021 05:20:48 PM,41.961672191999995,-87.718059269,"(41.961672192, -87.718059269)"
46121,12335386,JE193609,04/07/2021 08:30:00 PM,077XX S CICERO AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,834,8,18.0,70,04A,1145740.0,1853048.0,2021,04/14/2021 05:57:55 PM,41.752748626999995,-87.74149783600002,"(41.752748627, -87.741497836)"
59458,12354499,JE216737,05/02/2021 02:37:00 AM,006XX N LECLAIRE AVE,0460,BATTERY,SIMPLE,STREET,False,False,1532,15,37.0,25,08B,1142247.0,1903750.0,2021,05/09/2021 04:55:50 PM,41.891947885,-87.753043601,"(41.891947885, -87.753043601)"
14015,12281091,JE126356,01/29/2021 08:40:00 AM,069XX S HALSTED ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,733,7,6.0,68,08B,1172163.0,1858942.0,2021,02/05/2021 03:47:46 PM,41.768382919000004,-87.64449500200001,"(41.768382919, -87.644495002)"
10903,12276835,JE121396,01/23/2021 09:00:00 AM,024XX E 74TH ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",STREET,False,False,334,3,7.0,43,11,1193797.0,1856368.0,2021,01/30/2021 03:51:02 PM,41.760816855,-87.565281357,"(41.760816855, -87.565281357)"
27568,12306999,JE159082,03/01/2021 08:30:00 PM,058XX W DAKIN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1633,16,38.0,15,14,1136741.0,1925657.0,2021,03/08/2021 03:55:51 PM,41.952163596,-87.772739069,"(41.952163596, -87.772739069)"
49733,12340744,JE199962,04/14/2021 09:00:00 PM,063XX N SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2413,24,50.0,2,06,1155194.0,1941964.0,2021,04/21/2021 04:52:37 PM,41.996559648,-87.704465004,"(41.996559648, -87.704465004)"
5868,12268231,JE111226,01/13/2021 12:29:00 AM,110XX S VERNON AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,513,5,9.0,49,04A,1181203.0,1831877.0,2021,01/20/2021 03:53:42 PM,41.693909880999996,-87.612190453,"(41.693909881, -87.612190453)"
46881,12335421,JE193732,04/08/2021 06:30:00 PM,002XX S DEARBORN ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA STATION,True,False,113,1,42.0,32,11,1175968.0,1899257.0,2021,04/15/2021 05:38:17 PM,41.878926264,-87.629337063,"(41.878926264, -87.629337063)"
21398,12298794,JE148972,01/06/2021 04:10:00 PM,053XX N OKETO AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,False,1613,16,41.0,10,11,1126010.0,1934730.0,2021,02/24/2021 03:46:17 PM,41.977246756999996,-87.811984275,"(41.977246757, -87.811984275)"
17775,12289177,JE135588,02/08/2021 12:18:00 AM,040XX N LECLAIRE AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1624,16,45.0,15,08A,1141643.0,1926328.0,2021,02/15/2021 03:50:56 PM,41.953915479,-87.75470233600002,"(41.953915479, -87.754702336)"
36373,12318109,JE172393,03/18/2021 11:45:00 AM,009XX W 78TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,621,6,17.0,71,08B,1171191.0,1853110.0,2021,03/25/2021 04:55:39 PM,41.752400479,-87.648228096,"(41.752400479, -87.648228096)"
2303,12261219,JE103225,01/04/2021 03:55:00 PM,001XX N PARKSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1512,15,29.0,25,08B,1138578.0,1900413.0,2021,01/16/2021 03:49:23 PM,41.88285803,-87.76659936200001,"(41.88285803, -87.766599362)"
18201,12293120,JE141550,02/10/2021 03:18:00 PM,017XX W JARVIS AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,2422,24,49.0,1,06,,,2021,02/17/2021 03:50:56 PM,,,
19573,12291661,JE139147,02/08/2021 08:00:00 AM,052XX N LARNED AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1623,16,45.0,11,11,1139903.0,1935157.0,2021,02/19/2021 03:45:56 PM,41.978175087,-87.76088201600002,"(41.978175087, -87.760882016)"
